morph_id,morph,position,in_cells,in_forms,language_id
kommoirangmantakM16,m a,post,1.sg.nfut.neg; 1.pl.excl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.sg.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.sg.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,kommoirangmantak164; kommoirangmantak165; kommoirangmantak167; kommoirangmantak168; kommoirangmantak169; kommoirangmantak170; kommoirangmantak171; kommoirangmantak172; kommoirangmantak173; kommoirangmantak174; kommoirangmantak175; kommoirangmantak189; kommoirangmantak190; kommoirangmantak194; kommoirangmantak195; kommoirangmantak196; kommoirangmantak199; kommoirangmantak200; kommoirangmantak203; kommoirangmantak204; kommoirangmantak205,kommoirangmantak
kommoirangmantakM17,m a k,post,1.pl.incl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg,kommoirangmantak166; kommoirangmantak176; kommoirangmantak177; kommoirangmantak178; kommoirangmantak179; kommoirangmantak180; kommoirangmantak181; kommoirangmantak182; kommoirangmantak183; kommoirangmantak184; kommoirangmantak185; kommoirangmantak186; kommoirangmantak187; kommoirangmantak188; kommoirangmantak191; kommoirangmantak192; kommoirangmantak193; kommoirangmantak197; kommoirangmantak198; kommoirangmantak202,kommoirangmantak
kommoirangmantakM18,n,post,1.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.3.sg.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg,kommoirangmantak086; kommoirangmantak089; kommoirangmantak094; kommoirangmantak099; kommoirangmantak100; kommoirangmantak101; kommoirangmantak102; kommoirangmantak105; kommoirangmantak106,kommoirangmantak
kommoirangmantakM19,n a,post,2.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 1.pl.excl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.excl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg,kommoirangmantak034; kommoirangmantak038; kommoirangmantak040; kommoirangmantak046; kommoirangmantak048; kommoirangmantak087; kommoirangmantak092; kommoirangmantak093; kommoirangmantak095; kommoirangmantak097; kommoirangmantak110; kommoirangmantak114; kommoirangmantak115; kommoirangmantak116; kommoirangmantak119; kommoirangmantak120; kommoirangmantak123; kommoirangmantak124,kommoirangmantak
kommoirangmantakM20,n a,pre,1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 2.sg.nfut.aff; 2.sg.1.sg.nfut.aff; 2.sg.1.pl.excl.nfut.aff; 2.pl.1.sg.nfut.aff; 2.pl.1.pl.excl.nfut.aff; 2.sg.3.sg.nfut.aff; 2.sg.3.pl.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.sg.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg,kommoirangmantak014; kommoirangmantak015; kommoirangmantak016; kommoirangmantak017; kommoirangmantak018; kommoirangmantak019; kommoirangmantak020; kommoirangmantak021; kommoirangmantak023; kommoirangmantak025; kommoirangmantak026; kommoirangmantak028; kommoirangmantak030; kommoirangmantak032; kommoirangmantak035; kommoirangmantak038; kommoirangmantak039; kommoirangmantak040; kommoirangmantak041; kommoirangmantak042; kommoirangmantak043; kommoirangmantak044; kommoirangmantak045; kommoirangmantak047; kommoirangmantak049; kommoirangmantak051; kommoirangmantak053; kommoirangmantak058; kommoirangmantak059; kommoirangmantak060; kommoirangmantak061; kommoirangmantak062; kommoirangmantak063; kommoirangmantak064; kommoirangmantak065; kommoirangmantak066; kommoirangmantak067; kommoirangmantak068; kommoirangmantak069; kommoirangmantak070; kommoirangmantak071; kommoirangmantak072; kommoirangmantak073; kommoirangmantak074; kommoirangmantak075; kommoirangmantak076; kommoirangmantak077; kommoirangmantak079; kommoirangmantak081; kommoirangmantak083; kommoirangmantak085; kommoirangmantak089; kommoirangmantak090; kommoirangmantak092; kommoirangmantak093; kommoirangmantak101; kommoirangmantak102; kommoirangmantak103; kommoirangmantak104; kommoirangmantak111; kommoirangmantak112; kommoirangmantak113; kommoirangmantak114; kommoirangmantak115; kommoirangmantak116; kommoirangmantak117; kommoirangmantak118; kommoirangmantak119; kommoirangmantak120; kommoirangmantak128; kommoirangmantak129; kommoirangmantak130; kommoirangmantak131; kommoirangmantak138; kommoirangmantak140; kommoirangmantak141; kommoirangmantak142; kommoirangmantak143; kommoirangmantak144; kommoirangmantak145; kommoirangmantak150; kommoirangmantak151; kommoirangmantak152; kommoirangmantak153; kommoirangmantak154; kommoirangmantak155; kommoirangmantak156; kommoirangmantak157; kommoirangmantak158; kommoirangmantak159; kommoirangmantak167; kommoirangmantak168; kommoirangmantak169; kommoirangmantak170; kommoirangmantak180; kommoirangmantak181; kommoirangmantak182; kommoirangmantak183; kommoirangmantak190; kommoirangmantak191; kommoirangmantak192; kommoirangmantak193; kommoirangmantak194; kommoirangmantak195; kommoirangmantak196; kommoirangmantak197; kommoirangmantak198; kommoirangmantak199; kommoirangmantak200,kommoirangmantak
kommoirangmantakM21,n a ŋ,free,2.sg; 2.pl,kommoirangmantak004; kommoirangmantak005,kommoirangmantak
kommoirangmantakM22,n i,free,1.pl.excl; 1.pl.incl; 2.pl; 3.pl,kommoirangmantak002; kommoirangmantak003; kommoirangmantak005; kommoirangmantak007,kommoirangmantak
kommoirangmantakM23,n i,post,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.incl.fut.aff; 1.pl.incl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 3.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.sg.nfut.neg,kommoirangmantak009; kommoirangmantak011; kommoirangmantak012; kommoirangmantak013; kommoirangmantak015; kommoirangmantak017; kommoirangmantak018; kommoirangmantak020; kommoirangmantak023; kommoirangmantak025; kommoirangmantak026; kommoirangmantak028; kommoirangmantak029; kommoirangmantak030; kommoirangmantak032; kommoirangmantak033; kommoirangmantak035; kommoirangmantak037; kommoirangmantak039; kommoirangmantak041; kommoirangmantak043; kommoirangmantak045; kommoirangmantak047; kommoirangmantak049; kommoirangmantak051; kommoirangmantak053; kommoirangmantak055; kommoirangmantak057; kommoirangmantak059; kommoirangmantak061; kommoirangmantak063; kommoirangmantak065; kommoirangmantak067; kommoirangmantak069; kommoirangmantak071; kommoirangmantak073; kommoirangmantak075; kommoirangmantak077; kommoirangmantak079; kommoirangmantak081; kommoirangmantak083; kommoirangmantak085; kommoirangmantak090; kommoirangmantak091; kommoirangmantak109; kommoirangmantak111; kommoirangmantak112; kommoirangmantak113; kommoirangmantak117; kommoirangmantak118; kommoirangmantak121; kommoirangmantak122; kommoirangmantak201,kommoirangmantak
kommoirangmantakM24,n i,pre,1.pl.incl.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.incl.nfut.aff; 1.pl.incl.3.sg.nfut.aff; 1.pl.incl.3.pl.nfut.aff,kommoirangmantak013; kommoirangmantak028; kommoirangmantak032; kommoirangmantak127; kommoirangmantak135; kommoirangmantak137,kommoirangmantak
kommoirangmantakM25,n i ŋ,post,2.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff,kommoirangmantak036; kommoirangmantak042; kommoirangmantak044; kommoirangmantak050; kommoirangmantak052,kommoirangmantak
